date,pen,n_birds,n_alive,age_day,mean_bw_g,feed_intake_g,fi_per_bird_g,visits,station_busy_pct,overlap_events,bin_refills_today,temp_c_target,humidity_avg
2026-08-19,P01,3,3,15,538,229,76,305,21.5,5,0,24,60.0
2026-08-19,P02,5,5,15,507,380,76,508,35.8,17,0,24,57.5
2026-08-19,P03,7,7,15,525,540,77,719,50.6,46,0,24,59.4
2026-08-19,P04,8,8,15,512,577,72,771,54.3,55,0,24,56.2
2026-08-19,P05,10,10,15,502,753,75,1003,70.9,99,0,24,55.2
2026-08-19,P06,12,12,15,508,896,75,1196,84.3,143,0,24,56.5
2026-08-20,P01,3,3,16,587,245,82,295,21.9,6,0,24,55.7
2026-08-20,P02,5,5,16,568,380,76,457,33.7,17,0,24,56.0
2026-08-20,P03,7,7,16,574,571,82,689,50.8,51,0,24,57.1
2026-08-20,P04,8,8,16,567,622,78,750,55.3,60,0,24,56.1
2026-08-20,P05,10,10,16,554,804,80,968,71.5,99,0,24,61.1
2026-08-20,P06,12,12,16,564,975,81,1176,86.8,153,0,24,56.8
2026-08-21,P01,3,3,17,639,245,82,268,20.7,8,0,23,60.0
2026-08-21,P02,5,5,17,618,436,87,477,36.7,24,0,23,56.3
2026-08-21,P03,7,7,17,638,593,85,647,49.9,44,0,23,56.8
2026-08-21,P04,8,8,17,622,648,81,710,54.6,56,0,23,55.9
2026-08-21,P05,10,10,17,603,845,84,924,71.5,111,0,23,56.3
2026-08-21,P06,12,12,17,612,1050,88,1149,88.8,161,0,23,53.8
2026-08-22,P01,3,3,18,702,256,85,255,20.5,6,0,23,56.1
2026-08-22,P02,5,5,18,685,418,84,418,33.7,25,0,23,56.1
2026-08-22,P03,7,7,18,700,576,82,576,46.4,48,0,23,59.4
2026-08-22,P04,8,8,18,677,713,89,711,57.3,71,0,23,58.2
2026-08-22,P05,10,10,18,663,912,91,911,73.3,104,0,23,57.2
2026-08-22,P06,12,12,18,673,1122,94,1121,90.2,158,0,23,56.2
2026-08-23,P01,3,3,19,784,274,91,251,21.0,8,0,23,57.4
2026-08-23,P02,5,5,19,749,460,92,420,35.4,28,0,23,55.8
2026-08-23,P03,7,7,19,764,666,95,609,51.2,57,0,23,57.2
2026-08-23,P04,8,8,19,743,810,101,740,62.3,86,0,23,57.2
2026-08-23,P05,10,10,19,734,987,99,902,75.8,117,0,23,56.2
2026-08-23,P06,12,12,19,742,1190,99,1090,91.4,166,0,23,57.6
2026-08-24,P01,3,3,20,842,271,90,227,19.8,6,0,22,52.5
2026-08-24,P02,5,5,20,801,501,100,422,36.7,25,0,22,55.4
2026-08-24,P03,7,7,20,835,735,105,617,53.8,59,0,22,55.3
2026-08-24,P04,8,8,20,808,778,97,654,57.1,64,0,22,56.6
2026-08-24,P05,10,10,20,791,1033,103,867,75.8,111,0,22,56.7
2026-08-24,P06,12,12,20,813,1281,107,1078,93.9,173,0,22,56.8
2026-08-25,P01,3,3,21,908,348,116,270,24.3,14,0,22,54.8
2026-08-25,P02,5,5,21,864,543,109,420,38.1,31,0,22,54.5
2026-08-25,P03,7,7,21,901,799,114,620,55.9,56,0,22,53.4
2026-08-25,P04,8,8,21,871,912,114,709,64.0,81,0,22,54.0
2026-08-25,P05,10,10,21,854,1140,114,886,80.1,127,0,22,56.4
2026-08-25,P06,12,12,21,883,1331,111,1032,93.4,178,0,22,57.2
2026-08-26,P01,3,3,22,994,335,112,241,22.6,10,0,22,55.4
2026-08-26,P02,5,5,22,943,586,117,420,39.4,29,0,22,53.4
2026-08-26,P03,7,7,22,958,800,114,576,54.0,70,0,22,57.8
2026-08-26,P04,8,8,22,935,964,121,692,64.9,83,0,22,57.8
2026-08-26,P05,10,10,22,930,1090,109,783,73.4,110,0,22,59.0
2026-08-26,P06,12,12,22,940,1373,114,986,92.3,169,0,22,53.7
2026-08-27,P01,3,3,23,1061,344,115,229,22.2,8,0,21,56.1
2026-08-27,P02,5,5,23,1012,603,121,402,39.0,29,0,22,58.9
2026-08-27,P03,7,7,23,1055,866,124,577,56.0,77,0,21,55.3
2026-08-27,P04,8,8,23,1005,946,118,631,61.2,84,0,22,56.4
2026-08-27,P05,10,10,23,989,1200,120,799,77.7,130,0,22,58.9
2026-08-27,P06,12,12,23,1028,1458,121,971,94.3,182,0,21,59.8
2026-08-28,P01,3,3,24,1169,382,127,237,23.9,14,0,21,54.0
2026-08-28,P02,5,5,24,1104,616,123,383,38.4,27,0,21,55.0
2026-08-28,P03,7,7,24,1117,938,134,581,58.3,73,0,21,57.1
2026-08-28,P04,8,8,24,1086,964,120,597,60.1,85,0,21,54.8
2026-08-28,P05,10,10,24,1059,1207,121,747,74.9,109,0,21,53.8
2026-08-28,P06,12,12,24,1094,1564,130,969,97.5,183,0,21,55.4
2026-08-29,P01,3,3,25,1228,421,140,244,25.3,13,0,21,57.2
2026-08-29,P02,5,5,25,1162,654,131,378,39.3,25,0,21,55.3
2026-08-29,P03,7,7,25,1226,939,134,544,56.4,69,0,21,58.5
2026-08-29,P04,8,8,25,1179,1006,126,582,60.4,74,0,21,56.9
2026-08-29,P05,10,10,25,1136,1309,131,758,78.3,116,0,21,59.4
2026-08-29,P06,12,12,25,1171,1655,138,958,99.2,193,0,21,57.3
2026-08-30,P01,3,3,26,1323,386,129,209,22.4,9,0,20,58.5
2026-08-30,P02,5,5,26,1245,633,127,343,36.6,22,0,21,57.6
2026-08-30,P03,7,7,26,1305,1049,150,567,60.7,69,0,20,57.2
2026-08-30,P04,8,8,26,1245,1097,137,593,63.4,91,0,21,54.8
2026-08-30,P05,10,10,26,1219,1351,135,729,78.1,131,0,21,60.7
2026-08-30,P06,12,12,26,1256,1729,144,934,100.1,193,0,20,56.6
2026-08-31,P01,3,3,27,1401,445,148,226,24.9,18,0,20,58.1
2026-08-31,P02,5,5,27,1312,704,141,357,39.2,36,0,20,57.8
2026-08-31,P03,7,7,27,1398,918,131,466,50.9,67,0,20,59.7
2026-08-31,P04,8,8,27,1325,1163,145,590,64.9,84,0,20,58.5
2026-08-31,P05,10,10,27,1280,1484,148,752,82.9,150,0,20,59.0
2026-08-31,P06,12,12,27,1324,1740,145,880,97.3,173,1,20,57.1
2026-09-01,P01,3,3,28,1477,454,151,216,24.4,11,0,20,59.2
2026-09-01,P02,5,5,28,1390,723,145,345,39.1,38,0,20,60.5
2026-09-01,P03,7,7,28,1458,1081,154,515,58.4,66,0,20,57.5
2026-09-01,P04,8,8,28,1388,1153,144,549,62.5,75,0,20,59.2
2026-09-01,P05,10,10,28,1383,1451,145,691,78.3,121,0,20,57.7
2026-09-01,P06,12,12,28,1421,1800,150,858,97.4,184,0,20,59.4
2026-09-02,P01,3,3,29,1571,520,173,233,27.2,16,0,20,58.5
2026-09-02,P02,5,5,29,1474,729,146,327,37.8,33,0,20,57.8
2026-09-02,P03,7,7,29,1536,1044,149,468,54.4,59,0,20,60.1
2026-09-02,P04,8,8,29,1486,1185,148,531,62.0,79,0,20,58.1
2026-09-02,P05,10,10,29,1464,1509,151,677,78.9,129,1,20,60.0
2026-09-02,P06,12,12,29,1493,2009,167,899,104.6,201,0,20,57.9
2026-09-03,P01,3,3,30,1659,496,165,210,25.0,17,0,20,58.8
2026-09-03,P02,5,5,30,1553,753,151,318,38.1,29,0,20,57.7
2026-09-03,P03,7,7,30,1658,1169,167,493,59.3,77,0,20,61.5
2026-09-03,P04,8,8,30,1562,1308,163,552,66.2,93,0,20,59.3
2026-09-03,P05,10,10,30,1544,1553,155,657,78.4,125,0,20,60.3
2026-09-03,P06,12,12,30,1583,2022,168,851,102.5,198,0,20,61.1
2026-09-04,P01,3,3,31,1743,510,170,203,24.9,13,0,20,60.8
2026-09-04,P02,5,5,31,1653,762,152,304,37.5,29,0,20,60.2
2026-09-04,P03,7,7,31,1723,1180,169,471,57.7,71,0,20,60.8
2026-09-04,P04,8,8,31,1652,1379,172,549,66.8,92,1,20,59.2
2026-09-04,P05,10,10,31,1617,1619,162,646,79.3,136,0,20,59.1
2026-09-04,P06,12,12,31,1667,2177,181,869,106.5,196,0,20,61.7
2026-09-05,P01,3,3,32,1808,534,178,202,25.4,17,0,20,62.3
2026-09-05,P02,5,5,32,1747,838,168,316,39.8,40,0,20,62.2
2026-09-05,P03,7,7,32,1802,1264,181,477,60.0,73,0,20,63.4
2026-09-05,P04,8,8,32,1761,1298,162,489,61.9,82,0,20,62.8
2026-09-05,P05,10,10,32,1694,1573,157,593,74.0,113,0,20,63.3
2026-09-05,P06,12,12,32,1754,2176,181,822,102.5,195,0,20,63.3
2026-09-06,P01,3,3,33,1943,596,199,212,27.4,16,0,20,61.5
2026-09-06,P02,5,5,33,1817,857,171,306,39.3,38,0,20,59.8
2026-09-06,P03,7,7,33,1930,1261,180,450,57.8,65,1,20,63.3
2026-09-06,P04,8,8,33,1836,1426,178,509,65.8,89,0,20,64.0
2026-09-06,P05,10,10,33,1783,1712,171,610,78.9,127,0,20,60.9
2026-09-06,P06,12,12,33,1843,2155,180,770,99.7,171,0,20,62.5
2026-09-07,P01,3,3,34,2067,547,182,186,24.6,17,0,20,62.9
2026-09-07,P02,5,5,34,1895,864,173,292,38.5,32,0,20,62.5
2026-09-07,P03,7,7,34,2010,1339,191,453,60.2,59,0,20,60.6
2026-09-07,P04,8,8,34,1919,1483,185,501,66.1,89,0,20,61.7
2026-09-07,P05,10,10,34,1854,1743,174,591,77.8,128,0,20,62.6
2026-09-07,P06,12,12,34,1928,2269,189,768,101.3,185,0,20,64.8
