day,bw_ash_g,fi_ash_g,fcr_ash,bw_male_g,fi_male_g,fcr_male,bw_female_g,fi_female_g,fcr_female
1,57,,,56,,,57,,
2,72,,,71,,,72,,
3,89,,,89,,,89,,
4,109,,,109,,,108,,
5,131,,,131,,,130,,
6,155,,,156,,,154,,
7,182,20.0,0.885,184,20.29,0.88,180,19.71,0.889
8,212,38.0,0.939,215,39.0,0.935,209,36.0,0.938
9,246,42.0,0.98,250,44.0,0.98,241,40.0,0.979
10,281,47.0,1.025,287,49.0,1.024,275,45.0,1.022
11,320,51.0,1.059,328,54.0,1.061,312,49.0,1.058
12,362,57.0,1.094,372,60.0,1.097,352,53.0,1.088
13,407,61.0,1.123,420,64.0,1.124,394,58.0,1.119
14,455,66.0,1.149,471,70.0,1.151,439,63.0,1.148
15,506,73.0,1.178,525,77.0,1.179,487,69.0,1.177
16,561,78.0,1.201,583,82.0,1.202,538,73.0,1.201
17,618,83.0,1.225,644,88.0,1.225,591,79.0,1.227
18,678,89.0,1.248,708,94.0,1.247,647,84.0,1.25
19,741,95.0,1.27,776,100.0,1.267,705,90.0,1.275
20,806,101.0,1.293,846,107.0,1.288,765,95.0,1.299
21,874,107.0,1.315,920,113.0,1.308,828,101.0,1.322
22,944,114.0,1.338,996,120.0,1.328,892,107.0,1.348
23,1017,119.0,1.359,1075,126.0,1.348,959,112.0,1.37
24,1093,125.0,1.379,1157,132.0,1.366,1028,118.0,1.393
25,1170,131.0,1.4,1241,138.0,1.385,1098,124.0,1.417
26,1249,136.0,1.42,1327,144.0,1.404,1170,129.0,1.44
27,1329,143.0,1.442,1415,150.0,1.423,1243,135.0,1.464
28,1412,148.0,1.462,1505,157.0,1.442,1318,140.0,1.487
29,1496,154.0,1.483,1597,162.0,1.46,1394,145.0,1.51
30,1581,159.0,1.504,1690,167.0,1.479,1471,151.0,1.534
31,1667,164.0,1.525,1785,173.0,1.497,1549,155.0,1.556
32,1754,170.0,1.546,1880,179.0,1.516,1628,161.0,1.58
33,1843,174.0,1.566,1977,183.0,1.535,1708,165.0,1.602
34,1932,179.0,1.586,2075,188.0,1.553,1788,170.0,1.626
35,2021,183.0,1.607,2173,193.0,1.572,1869,174.0,1.648
36,2111,188.0,1.628,2272,197.0,1.59,1950,179.0,1.672
37,2201,192.0,1.648,2371,202.0,1.609,2031,182.0,1.695
38,2291,196.0,1.669,2470,205.0,1.627,2112,187.0,1.718
39,2382,200.0,1.689,2570,209.0,1.645,2193,190.0,1.741
40,2472,203.0,1.71,2669,213.0,1.664,2274,194.0,1.765
41,2562,207.0,1.731,2768,216.0,1.682,2355,198.0,1.788
42,2652,210.0,1.751,2867,219.0,1.701,2436,200.0,1.811
43,2741,213.0,1.772,2966,222.0,1.719,2516,204.0,1.834
44,2830,215.0,1.792,3064,225.0,1.737,2596,206.0,1.857
45,2919,218.0,1.812,3161,227.0,1.756,2676,209.0,1.88
46,3006,221.0,1.833,3258,229.0,1.774,2754,212.0,1.903
47,3093,223.0,1.854,3353,232.0,1.793,2832,214.0,1.927
48,3179,224.0,1.874,3448,233.0,1.811,2909,216.0,1.95
49,3264,227.0,1.895,3541,235.0,1.83,2986,218.0,1.973
50,3348,228.0,1.915,3634,236.0,1.848,3061,220.0,1.996
51,3431,229.0,1.936,3725,237.0,1.866,3136,221.0,2.019
52,3512,230.0,1.957,3815,238.0,1.885,3209,223.0,2.042
53,3593,232.0,1.977,3904,240.0,1.903,3282,225.0,2.066
54,3672,233.0,1.998,3991,240.0,1.922,3353,225.0,2.089
55,3751,234.0,2.018,4077,240.0,1.94,3424,227.0,2.112
56,3828,234.0,2.039,4162,241.0,1.958,3493,228.0,2.135
57,3904,235.0,2.059,4245,241.0,1.977,3562,228.0,2.158
58,3978,235.0,2.08,4327,241.0,1.995,3629,229.0,2.181
59,4051,236.0,2.101,4407,242.0,2.014,3695,230.0,2.205
60,4123,236.0,2.122,4485,241.0,2.033,3760,230.0,2.228
61,4193,236.0,2.142,4562,241.0,2.051,3823,230.0,2.251
62,4262,236.0,2.163,4638,240.0,2.069,3886,231.0,2.274
63,4330,235.0,2.183,4712,240.0,2.088,3947,231.0,2.297
64,4396,235.0,2.204,4784,240.0,2.106,4007,231.0,2.321
65,4461,235.0,2.225,4855,239.0,2.125,4066,230.0,2.344
66,4524,234.0,2.245,4925,238.0,2.143,4123,230.0,2.367
67,4586,234.0,2.266,4992,237.0,2.162,4179,230.0,2.39
68,4647,233.0,2.286,5058,237.0,2.18,4235,230.0,2.413
69,4706,232.0,2.307,5123,235.0,2.199,4289,230.0,2.436
70,4764,232.0,2.328,5186,235.0,2.217,4341,230.0,2.46
